lulc-class,lucode,is_coastal_blue_carbon_habitat
Unnamed1,0,False
Developed Dry Land,1,False
Undeveloped Dry Land,2,False
Nontidal Swamp,3,False
Cypress Swamp,4,False
Inland Fresh Marsh,5,True
Tidal Fresh Marsh,6,True
Transitional Salt Marsh,7,True
Regularly Flooded Marsh,8,True
Mangrove,9,True
Estuarine Beach,10,False
Tidal Flat,11,False
Ocean Beach,12,False
Unnamed2,13,False
Rocky Intertidal,14,False
Inland Open Water,15,False
Riverine Tidal Open Water,16,False
Estuarine Water,17,False
Unnamed3,18,False
Open Ocean,19,False
Irregularly flooded marsh,20,True
Unnamed4,21,False
Inland Shore,22,False
Tidal Swamp,23,False
