climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,1.73,1.73,2.330605,2.896472
2,1.73,2.8101529999999997,2.838926,2.896472
3,2.68547,2.838926,2.896472,3.433565
4,2.68547,2.8101529999999997,3.433565,3.5007019999999995
5,1.73,2.8101529999999997,3.3761879999999995,3.5007019999999995
6,1.73,2.8101529999999997,3.165018,3.5007019999999995
7,1.73,2.695061,3.165018,3.5007019999999995
8,1.73,1.73,2.14921,3.165018
9,1.73,1.73,3.1,3.1
10,1.73,3.1,3.145836,3.781271
11,1.08,1.73,2.004512,3.0236110000000003
12,1.73,2.09083,2.225104,2.829335
13,1.73,2.1100119999999998,2.397741,2.829335
14,1.73,2.263468,2.829335,2.896472
15,1.73,2.397741,2.723834,2.896472
16,1.73,1.73,2.743016,3.021154
17,1.73,1.73,2.8005619999999998,3.90895
18,1.73,1.73,1.73,3.90895
19,1.73,1.73,2.0448310000000003,3.781271
20,1.81,2.645311,3.802887,5.367987
21,1.08,1.73,1.73,3.1945580000000002
22,1.08,1.73,2.225104,3.0
23,1.73,2.47872,2.724455,3.0
24,1.73,1.73,2.8206130000000003,3.328065
25,1.73,1.73,1.73,2.811034
26,1.73,1.73,2.126144,5.215207
27,1.909454,2.214378,2.394372,5.215207
28,1.73,2.16,2.645311,5.672276999999999
29,2.394372,5.215207,5.672276999999999,5.672276999999999
30,4.911433000000001,5.367987,5.672276999999999,5.672276999999999
31,1.08,1.08,1.73,5.107018
32,1.73,2.1574880000000003,2.649667,3.0
33,1.73,1.73,2.809929,3.0
34,1.73,1.73,2.126144,3.6107199999999997
35,1.73,2.6881,3.4566779999999997,6.5159650000000005
36,1.909454,2.681906,3.871439,5.733266
37,1.909454,2.530082,3.472345,5.672276999999999
38,2.570672,2.773619,4.4907330000000005,5.733266
39,2.8805650000000003,4.725542,5.367987,7.611743
40,3.587021,5.126675,5.672276999999999,7.611743
41,1.08,1.322332,1.9445130000000002,5.352754
42,1.73,1.73,2.2270849999999998,3.472345
43,1.439749,1.73,3.034295,6.672503999999999
44,2.124187,2.691839,3.4566779999999997,6.672503999999999
45,2.124187,2.691839,3.258018,6.5159650000000005
46,2.151246,2.7195,3.436582,6.5159650000000005
47,2.151246,2.6421740000000002,3.436582,5.681666000000001
48,2.056537,3.098336,5.283215,6.868179
49,4.320816000000001,5.351701,5.909373,6.868179
50,4.910018,5.367987,6.16925,6.662721
51,1.08,1.73,2.813683,4.391181
52,1.720025,1.73,2.624779,3.01253
53,1.488284,1.704761,2.124187,3.01253
54,1.488284,1.704761,2.124187,2.737749
55,1.380045,1.704761,2.124187,3.047683
56,2.124187,2.5133,3.4566779999999997,5.966685
57,2.151246,3.436582,5.682557,6.22037
58,3.630322,5.682557,6.876869999999999,7.335328
59,4.8135959999999995,6.129384,6.876869999999999,7.474858
60,4.931648,6.129384,6.365538,6.876869999999999
61,1.73,2.224628,2.525355,3.269346
62,1.613356,2.406047,2.565124,2.97276
63,1.439749,2.154482,2.525355,3.01253
64,1.488284,1.488284,2.525355,3.047683
65,1.439749,2.435874,3.047683,3.047683
66,1.73,2.744087,3.047683,3.425408
67,2.07795,2.736985,3.047683,3.787987
68,2.237464,2.661554,3.047683,6.876869999999999
69,3.047683,6.129384,6.33868,7.076199000000001
70,2.862275,5.1128029999999995,5.930054,6.33868
71,1.08,1.613356,2.224628,2.8860040000000002
72,2.154482,2.565124,3.047683,3.047683
73,2.154482,2.565124,3.047683,3.047683
74,2.154482,2.1901990000000002,3.01253,3.047683
75,2.1901990000000002,2.1901990000000002,3.047683,3.047683
76,2.1901990000000002,2.45126,3.007873,3.047683
77,2.0063419999999996,2.529332,3.0,3.38861
78,1.73,2.4657009999999997,3.047683,4.504372
79,2.233865,3.047683,4.425116,5.3818980000000005
80,2.668227,3.9898089999999997,4.850599,5.3818980000000005
81,1.212523,1.406508,1.872591,3.206671
82,0.596486,1.406508,1.9029220000000002,2.0994189999999997
83,1.706425,1.9029220000000002,2.0994189999999997,2.644768
84,1.706425,1.954632,2.4303619999999997,2.513098
85,1.706425,2.1901990000000002,2.4303619999999997,2.737749
86,1.234772,1.975316,2.285575,2.737749
87,1.4980129999999998,1.975316,2.285575,3.12
88,1.4980129999999998,1.8615540000000002,2.4303619999999997,3.12
89,1.400984,1.975316,2.512109,3.0
90,1.8460450000000002,2.512109,3.0,3.268062
91,0.310646,0.378206,1.924003,3.206671
92,0.378206,0.7928310000000001,1.743627,1.933948
93,0.573125,0.7928310000000001,1.73745,1.933948
94,0.573125,0.903106,1.706425,1.933948
95,0.616544,0.955773,1.73745,2.171813
96,0.7928310000000001,0.998627,1.7477919999999998,2.513098
97,0.7928310000000001,0.998627,1.634031,2.171813
98,0.7815340000000001,1.1984110000000001,1.634031,2.233865
99,0.7928310000000001,1.86916,2.513098,2.668227
100,0.814724,1.62301,2.513098,3.0
