description,lucode,load_type_p,load_p,eff_p,crit_len_p,load_type_n,load_n,eff_n,crit_len_n,proportion_subsurface_n
Urban and paved roads,1,measured-runoff,2.1,0.26,150,measured-runoff,6.3,0.05,150,0
Grass,3,measured-runoff,0.93,0.6,150,measured-runoff,4,0.35,150,0
General agriculture,5,measured-runoff,3.57,0.48,150,measured-runoff,27,0.25,150,0
Tea,6,measured-runoff,2.47,0.48,150,measured-runoff,3.3,0.4,150,0
Coffee,7,measured-runoff,3.81,0.48,150,measured-runoff,3.3,0.4,150,0
Forest,8,measured-runoff,1.36,0.67,150,measured-runoff,1.4,0.4,150,0
Water,9,measured-runoff,0,0.4,150,measured-runoff,0,0.02,150,0
Forest plantation,11,measured-runoff,1.4,0.6,150,measured-runoff,3.3,0.4,150,0
Unpaved road,18,measured-runoff,0.79,0.26,150,measured-runoff,6.3,0.05,150,0
Agroforestry,19,measured-runoff,2.48,0.54,150,measured-runoff,15.2,0.33,150,0
