name,lucode,EMC_P,EMC_N,is_connected,RC_A,RC_B,RC_C,RC_D,PE_A,PE_B,PE_C,PE_D
open water,11,0,0,0,0,0,0,0,0,0,0,0
ice snow,12,0,0,0,0,0,0,0,0,0,0,0
dev open,21,0.296,2.85,0,0.085,0.158,0.222,0.345,0.075,0.033,0.017,0.005
dev low,22,0.393,2.34,0,0.294,0.346,0.393,0.481,0.055,0.024,0.012,0.004
dev med,23,0.345,2.53,1,0.544,0.573,0.597,0.645,0.029,0.013,0.006,0.002
dev high,24,0.275,2.33,1,0.753,0.761,0.768,0.782,0.008,0.004,0.002,0.001
barren,31,0.13,1.63,0,0.002,0.101,0.188,0.349,0.084,0.032,0.01,0.005
decid forest,41,0.105,1.228,0,0.001,0.078,0.146,0.277,0.084,0.038,0.02,0.006
evergreen,42,0.105,1.228,0,0.001,0.078,0.146,0.277,0.084,0.038,0.02,0.006
mixed forest,43,0.105,1.228,0,0.001,0.078,0.146,0.277,0.084,0.038,0.02,0.006
scrub,51,0.053,1.25,0,0.002,0.087,0.161,0.303,0.084,0.036,0.017,0.006
shrub scrub,52,0.053,1.25,0,0.002,0.087,0.161,0.303,0.084,0.036,0.017,0.006
grassland,71,0.053,1.25,0,0.002,0.087,0.161,0.303,0.084,0.036,0.017,0.006
sedge,72,0.053,1.25,0,0.002,0.087,0.161,0.303,0.084,0.036,0.017,0.006
lichens,73,0.053,1.25,0,0.002,0.087,0.161,0.303,0.084,0.036,0.017,0.006
moss,74,0.053,1.25,0,0.002,0.087,0.161,0.303,0.084,0.036,0.017,0.006
pasture,81,0.053,1.25,0,0.002,0.087,0.161,0.303,0.084,0.036,0.017,0.006
cultivated,82,0.506,3.44,0,0.002,0.087,0.161,0.303,0.084,0.036,0.017,0.006
woody wetlands,90,0,0,0,0,0,0,0,0,0,0,0
emerg wetlands,95,0,0,0,0,0,0,0,0,0,0,0
